Year,ID,Tube ID,PC ug.g detected,PE ug.g detected,PC ug.g,PE ug.g,CHLA ug.g,PC.to.PE ratio,Sum.PCPE,Perc.Cyano.Ext,CHLA RFU per.ext.upd.Feb24,Perc.Cyano.BT,Cyano.Chla,Sum.BT.Chla,TimePeriod,TimeDays,Lake,Site,Depth,Light.Intensity,Conv.Light.cm2,Square,Toxic,Toxin,DryMass.Scraped.g,DryMass.Scraped.mg,Area.scraped.cm2,Mass.per.Area.Scraped.g.cm2,PC ug.cm2,PE ug.cm2,Chla ug.cm2,Avg.Mass.extracted.g
2022,AW220614_3446_S-4 scrape,5,Yes,No,71.4,0,237.4,NA,71.4,30,780980,19.94301994,0.12,0.585,May-June,34,Cayuga,3446,Surface,908.0285714,0.977389906,4,NA,NA,0.029,29,102,0.00028,0.0203,0,0.067496078,
2022,AW220614_3446_B-4 scrape,6,Yes,No,59.5,0,328.4,NA,59.5,18,1085060,19.18367347,0.08,0.408333333,May-June,34,Cayuga,3446,Bottom,582.4262,0.626915834,4,NA,NA,0.0729,72.9,102,0.00071,0.042525,0,0.234709412,
2022,AW220614_3447_B-4 scrape,8,Yes,No,65.3,0,433.2,NA,65.3,15,1433758,19.84435798,0.09,0.428333333,May-June,34,Cayuga,3447,Bottom,237.3785714,0.255511145,4,NA,NA,0.1241,124.1,102,0.00122,0.079448333,0,0.52706,
2022,AW220711_HNSW_S-4 scrape,14,Yes,No,121.5,0,447.9,NA,121.5,27,1484296,20.4137931,0.246666667,1.208333333,June-July,28,Honeoye,HNSW,Surface,425.2590799,0.457743231,4,Yes,Saxitoxin,0.08,79.2,102,0.00078,0.094341176,0,0.347781176,
2022,AW220711_HNSW_B-4 Scrape,16,Yes,No,37.7,0,709.5,NA,37.7,5,2355549,13.66711773,0.168333333,1.231666667,June-July,28,Honeoye,HNSW,Bottom,25.71307506,0.027677213,4,NA,NA,0.05,51,102,0.0005,0.01885,0,0.35475,
2022,AW220711_HNJB_B-4 Scrape,24,Yes,No,50.7,0,768.6,NA,50.7,7,2551395,10.07751938,0.13,1.29,June-July,28,Honeoye,HNJB,Bottom,31.08837772,0.033463117,4,NA,NA,0.03,31.4,102,0.00031,0.015607647,0,0.236608235,
2022,AW220711_HNJB_S-8 Scrape,26,Yes,No,62.9,0,1230,NA,62.9,5,4090491,14.46945338,0.15,1.036666667,May-July,63,Honeoye,HNJB,Surface,166.7881356,0.179528536,8,NA,NA,0.04,36.8,102,0.00036,0.022693333,0,0.443764706,
2022,AW220714_3446_S-4 scrape,30,Yes,Yes,192.3,9.5,668.2,20.24210526,201.8,30,2216571,24.64788732,0.12,0.473333333,June-July,30,Cayuga,3446,Surface,531.1142857,0.57168437,4,NA,NA,0.06,55.6,102,0.00055,0.104822353,0.005178431,0.36423451,
2022,AW220714_3446_B-4 scrape,32,Yes,No,96.1,0,463.8,NA,96.1,21,1537341,25.97402597,0.13,0.513333333,June-July,30,Cayuga,3446,Bottom,612.7166667,0.65952009,4,No,ND,0.21,212.8,102,0.00209,0.20049098,0,0.967614118,
2022,AW220714_3446_S-8 scrape,34,Yes,No,120.5,0,612.5,NA,120.5,20,2032575,40,0.19,0.466666667,May-July,64,Cayuga,3446,Surface,531.1142857,0.57168437,8,NA,NA,0.09,86.4,102,0.00085,0.102070588,0,0.518823529,
2022,AW220714_3446_B-8 scrape,36,Yes,No,68.3,0,546.4,NA,68.3,13,1812090,29.88505747,0.3,1.015,May-July,64,Cayuga,3446,Bottom,612.7166667,0.65952009,8,No,ND,0.38,378.5,102,0.00371,0.253446569,0,2.027572549,
2022,AW220714_3447_S-4 scrape,38,Yes,No,100.9,0,856.5,NA,100.9,12,2845858,32.48259861,0.47,1.436666667,June-July,30,Cayuga,3447,Surface,601.1166667,0.647034004,4,No,ND,0.25,252,102,0.00247,0.249282353,0,2.116058824,
