ID,Module,RFU,MonthAnalyzed,StdType
Buffer blank,Orange - PC,213.43,April,Blank
Buffer blank,Orange - PC,213.44,April,Blank
Buffer blank,Orange - PC,215.07,April,Blank
Buffer blank,Green - PE,47.75,April,Blank
Buffer blank,Green - PE,48.08,April,Blank
Buffer blank,Green - PE,43.63,April,Blank
Microcystis,Orange - PC,114996463.6,April,Field
Microcystis,Orange - PC,114737027.3,April,Field
Microcystis,Orange - PC,112056218.2,April,Field
Microcystis,Orange - PC,97051600,April,Field
Microcystis,Orange - PC,95704652.94,April,Field
Microcystis,Orange - PC,94398141.18,April,Field
Microcystis,Orange - PC,96512866.67,April,Field
Microcystis,Orange - PC,96091553.33,April,Field
Microcystis,Orange - PC,94631253.33,April,Field
Microcystis,Green - PE,588881.8182,April,Field
Microcystis,Green - PE,569054.5455,April,Field
Microcystis,Green - PE,557863.6364,April,Field
Microcystis,Green - PE,430858.8235,April,Field
Microcystis,Green - PE,426052.9412,April,Field
Microcystis,Green - PE,419276.4706,April,Field
Microcystis,Green - PE,438093.3333,April,Field
Microcystis,Green - PE,433613.3333,April,Field
Microcystis,Green - PE,430460,April,Field
Grateloupia,Orange - PC,86365.91,April,Field
Grateloupia,Orange - PC,84879.53,April,Field
Grateloupia,Orange - PC,83274.83,April,Field
Grateloupia,Green - PE,44559.82,April,Field
Grateloupia,Green - PE,42929.14,April,Field
Grateloupia,Green - PE,42036.46,April,Field
Grateloupia,Green - PE,38565.91,April,Field
Grateloupia,Green - PE,38313.25,April,Field
Grateloupia,Green - PE,38239.34,April,Field
Buffer blank,Green - PE,39.81,March,Blank
Buffer blank,Green - PE,39.23,March,Blank
Buffer blank,Green - PE,39.48,March,Blank
Buffer blank,Green - PE,39.81,March,Blank
Buffer blank,Green - PE,43.75,March,Blank
Buffer blank,Green - PE,39.45,March,Blank
Buffer blank,Green - PE,37.8,March,Blank
Buffer blank,Green - PE,39.7,March,Blank
Buffer blank,Green - PE,40.67,March,Blank
Buffer blank,Green - PE,35.14,March,Blank
Buffer blank,Green - PE,35.17,March,Blank
Buffer blank,Green - PE,36.1,March,Blank
Buffer blank,Orange - PC,196.7,March,Blank
Buffer blank,Orange - PC,196.17,March,Blank
